countyfips,mean_confirmed_7d_avg,mean_deaths_7d_avg,never_rarely_mask,retail_and_recreation_percent_change_from_baseline,workplaces_percent_change_from_baseline,stay_at_home,population_density_per_sqmi,percent_uninsured,percent_non_hispanic_white,per_capita_income,percent_65_and_over,ELEV_M,mean_temp_15d_avg
22001,2089.285714285714,60.285714285714285,0.23299999999999998,-2.6153846153846154,-24.46153846153846,1,95.20563572350804,10.665807234,77.268049526,20887,15.261296028,11.6,81.455
51001,1060,15,0.02,36.1,-13.9,1,73.57990362746915,16.649112857,59.971615451,23337,23.565346168,14.3,83.10111111111111
16001,6709.142857142857,42.714285714285715,0.196,-13.307692307692308,-31.923076923076923,1,404.5514576315186,8.7432917648,84.466535877,30086,14.424873289,857.7,78.04388888888889
29001,117.42857142857143,0,0.165,-17,-26.153846153846153,1,45.03073513374902,10.602460531,90.137732349,19804,14.819053633,294.4,77.17833333333334
17001,315,1,0.272,-6.076923076923077,-21.384615384615383,1,78.28413304196155,5.2365870045,91.549831788,26053,20.231081883,234.4,77.64722222222221
18001,66.57142857142857,1,0.183,1.5384615384615385,-12.846153846153847,1,102.68466005344469,11.623896947,93.458861825,21173,15.501178583,241.1,75.77
28001,481.2857142857143,22.142857142857142,0.225,-7.538461538461538,-25.46153846153846,1,68.66541950299369,14.979845776,34.617850731,18091,18.831751731,82.9,81.13777777777779
31001,323,11,0.185,0.3076923076923077,-18.53846153846154,0,55.98713348187372,8.7603305785,85.233727905,27609,18.203167148,597.7,77.54444444444444
39001,40.285714285714285,2,0.19,-13.25,-14.25,1,48.146247442765855,9.0619045509,96.23070264,18901,17.930313086,278.3,78.225
42001,435.57142857142856,16.285714285714285,0.07300000000000001,-1.7692307692307692,-23.076923076923077,1,196.18560784176552,7.4929335756,89.017712113,28515,20.381087627,148.1,78.13833333333334
53001,335.2857142857143,0.42857142857142855,0.128,17.11111111111111,-22.555555555555557,1,9.922208837575205,12.672961577,33.068475125,17781,11.058251936,364.5,79.405
50001,71.14285714285714,2,0.074,0.3333333333333333,-29.88888888888889,1,48.185654320854496,6.2158494994,92.437724826,30154,19.898304168,149.4,73.08722222222222
45003,1173.5714285714287,21.285714285714285,0.186,-9.23076923076923,-25.384615384615383,0,154.1850828429773,13.428511849,65.947072331,25602,19.421963271,161.2,81.84933333333333
12001,2971.4285714285716,17,0.025,-26.846153846153847,-30.692307692307693,1,293.2175475782203,11.865669582,60.809909763,25758,14.01561736,37.5,80.46166666666666
37001,1888.2857142857142,40.285714285714285,0.11299999999999999,-10.461538461538462,-25.153846153846153,1,369.3067116690684,14.14382019,63.378115312,23989,16.899589031,188.1,82.27722222222222
36001,2412.714285714286,122.42857142857143,0.018000000000000002,-30.53846153846154,-34.23076923076923,1,588.9107087472663,4.4009381719,71.807487049,33888,16.95542741,85.3,74.87166666666667
56001,75.85714285714286,0,0.23600000000000002,12.076923076923077,-24.076923076923077,0,8.851923970004012,12.539732004,82.07300329,25227,11.735447268,2214.7,67.24055555555556
51003,679.8571428571429,10,0.045,-20.615384615384617,-39.76923076923077,1,144.68191548928206,9.9552599758,76.60185066,38039,18.624330838,358.8,78.47277777777778
28003,232.42857142857142,2.4285714285714284,0.2,-7,-22.153846153846153,1,93.26305676438213,14.397590361,82.678402167,20006,18.450914015,130.2,81.09444444444445
37003,240,2,0.05,-8.76923076923077,-20.23076923076923,1,143.12752263564747,13.410741221,86.568682569,20567,20.049259765,294.1,79.33666666666666
51510,2659.714285714286,56.42857142857143,0.052000000000000005,-26,-43.53846153846154,1,10065.076977625304,11.126418498,51.752320439,55534,11.502522893,3.1,83.70611111111111
26005,456.7142857142857,7.142857142857143,0.085,19.153846153846153,-21.076923076923077,1,137.7377459370447,5.4587306807,88.209022646,25840,16.546915885,210,74.64611111111111
24001,248,18,0.017,-7,-23.23076923076923,1,172.24603928790964,5.8771463976,86.77139838,22029,20.288834097,236.2,77.55777777777777
36003,73.14285714285714,1,0.077,-10.75,-28.5,1,46.34218610769527,5.8537727565,94.294637088,21478,18.985569675,647.4,70.41277777777778
42003,7000.714285714285,215.57142857142858,0.039,-26.384615384615383,-38.30769230769231,1,1685.2485207470086,4.8607007458,78.373214538,33830,18.907351295,380.4,77.61777777777777
18003,3281.4285714285716,149.57142857142858,0.21000000000000002,-4.3076923076923075,-23.307692307692307,1,556.1437766484584,9.7108854332,73.467501086,26058,14.577821825,241.1,75.77
39003,513.1428571428571,41,0.189,-5.461538461538462,-20.153846153846153,1,260.0349191708369,7.6961444461,80.70775255,23600,17.647058824,297.2,76.49444444444444
26007,125,13,0.065,18.76923076923077,-20.076923076923077,1,50.58707501546838,6.1520684077,95.599435825,22776,23.437940762,208.5,70.36111111111111
51009,72.85714285714286,0,0.097,5.461538461538462,-22.23076923076923,1,67.51732783991294,12.347516851,74.894208299,23372,21.161498137,286.5,80.935
21005,44.714285714285715,1,0.072,-1,-19.75,1,108.34195871489759,5.2742062451,93.77840533,24891,15.761373163,245.1,79.2361111111111
45007,1611,32.285714285714285,0.134,-9.538461538461538,-22.53846153846154,0,269.3509140544836,13.339790274,77.232369988,23341,18.049001905,231.7,81.52166666666668
47001,388.57142857142856,3.4285714285714284,0.193,-4.076923076923077,-25.307692307692307,1,224.04939360540513,10.280744684,89.061478518,26072,20.077926832,274.3,80.8488888888889
48001,2104,4.571428571428571,0.27599999999999997,-11.461538461538462,-24.692307692307693,1,54.3683962418394,19.602529359,58.664760494,18087,14.797526569,128.9,82.915
48003,217.42857142857142,3.5714285714285716,0.134,-23.6,-31.8,1,11.47115522971328,22.053520592,39.877537511,29240,10.359664607,1010.4,85.47833333333334
23001,525.2857142857143,5,0.182,-5.153846153846154,-26.384615384615383,1,229.46950326880525,9.4466201655,90.386240585,25788,17.729548008,87.8,72.32111111111111
